payment_id,ticket_id,payment_method,status,payment_date
1,265974,Credit Card,,44622.36138
2,173483,mobile money,completed,45597.21975
3,237374,Mobile Money,,45224.51767
4,36870,mobile money,FAILED,44806.13875
5,106703,MO BILE MONEY,PENDING,44561.46531
6,50043,credit card,Pending,45180.52945
7,8947,Mobile Money,,45028.73053
8,196611,Mobile Money,Pending,45786.10764
9,108545,,fa iled,45030.76038
10,200907,paypal,Failed,45863.44954
11,163017,,Completed,44362.60633
12,205391,Bank Transfer,Pending,45835.95233
13,55141,Debit Card,Completed,44753.00526
14,131949,cr edit card,,45076.21522
15,35426,Bank Transfer,Pending,44184.31554
16,154480,mo bile money,,45775.66598
17,37244,BA NK TRANSFER,Completed,43867.14564
18,22498,,Completed,45498.92006
19,73586,mo bile money,Pending,44282.30412
20,10815,PayPal,,44274.03128
21,232973,Debit Card,Completed,44129.95384
22,206098,,Failed,45215.20414
23,276671,debit card,,43837.6661
24,228074,mobile money,Pending,44190.33851
25,155136,Credit Card,Failed,44042.33486
26,202650,Bank Transfer,Pending,44483.29253
27,84547,,,45398.06954
28,117426,Bank Transfer,completed,45457.72274
29,80374,,Completed,44370.97215
30,115229,pa ypal,Completed,44712.70945
31,14841,MO BILE MONEY,co mpleted,44016.90687
32,129665,Credit Card,,45281.93911
33,263145,,PE NDING,44965.56739
34,213152,Mobile Money,Completed,44284.50419
35,167687,BA NK TRANSFER,,45216.46806
36,81088,PayPal,Completed,45117.32772
37,254483,Debit Card,Pending,45079.35314
38,67744,DEBIT CARD,Pending,45144.92923
39,146779,Bank Transfer,failed,44251.40722
40,4040,PayPal,Failed,44630.74601
41,167743,PayPal,fa iled,44520.82613
42,135076,Mobile Money,,45251.20936
43,132369,PayPal,,44259.58808
44,205494,Debit Card,Completed,45132.36676
45,26191,Debit Card,Pending,45780.76104
46,86962,Credit Card,PE NDING,45012.33258
47,228726,Debit Card,Completed,44718.55376
48,4339,,Pending,45962.45364
49,236535,,,44634.52075
50,36473,mo bile money,CO MPLETED,43914.6792
51,232181,Debit Card,,45998.36821
52,3186,Mobile Money,Completed,44274.53361
53,67868,PA YPAL,Completed,45487.47875
54,293698,Mobile Money,pending,45627.78526
55,72347,Mobile Money,fa iled,44146.42441
56,32699,Mobile Money,pending,44708.78743
57,162869,PayPal,Completed,44033.01311
58,297067,bank transfer,Pending,44448.60935
59,127700,DEBIT CARD,Failed,45320.00387
60,201522,Bank Transfer,,44461.97391
61,243636,DEBIT CARD,Pending,45326.01865
62,251552,MOBILE MONEY,FAILED,45401.33917
63,116847,,COMPLETED,44330.90698
64,131380,Credit Card,,45184.79304
65,230081,Credit Card,Pending,45530.21492
66,87578,BANK TRANSFER,pe nding,45905.03472
67,76481,credit card,Failed,43900.3511
68,266127,Mobile Money,FAILED,45150.27543
69,264137,Mobile Money,Failed,44361.70246
70,262456,PayPal,Failed,45536.25968
71,189081,Mobile Money,,44834.55524
72,46530,,Failed,44511.56179
73,174990,Debit Card,Failed,43929.2385
74,51665,Mobile Money,co mpleted,45827.30055
75,74336,PA YPAL,Completed,45329.99565
76,155684,Credit Card,Failed,44463.30666
77,143486,Debit Card,,45042.56533
78,10969,Mobile Money,Failed,44125.61532
79,140713,Debit Card,,44312.22548
80,23838,,Completed,45761.90404
81,81976,Bank Transfer,,43834.83077
82,232099,Mobile Money,,45929.78912
83,46688,PayPal,Pending,44264.4052
84,37200,Bank Transfer,,46000.79045
85,100520,,Pending,45272.68996
86,120856,,pending,43846.50373
87,44624,PayPal,Completed,45153.28642
88,221547,,PENDING,44441.23228
89,55419,credit card,FA ILED,44873.07122
90,200120,Credit Card,Pending,45644.85114
91,209575,PayPal,Failed,45748.3328
92,194289,MOBILE MONEY,PE NDING,43891.24935
93,36570,BANK TRANSFER,Failed,44497.826
94,174091,Mobile Money,Pending,45875.73834
95,250722,PayPal,,45021.9456
96,224404,Credit Card,pe nding,44187.66548
97,60092,Credit Card,Completed,45901.56413
98,113117,,Pending,44338.14119
99,217287,Credit Card,,45688.38936
100,61138,Credit Card,,44203.70954
101,11942,BA NK TRANSFER,FA ILED,45171.9002
102,168731,Bank Transfer,Failed,44242.56986
103,284932,PAYPAL,,44887.98507
104,47071,Credit Card,FAILED,45799.11669
105,241095,Bank Transfer,Failed,45120.10559
106,121597,Bank Transfer,Completed,44533.30635
107,285178,Credit Card,Completed,45877.45331
108,229478,Mobile Money,,44885.29989
109,266429,,pe nding,44139.77294
110,249234,Bank Transfer,COMPLETED,45855.76685
111,278760,,Completed,43930.94944
112,202142,mobile money,Completed,45751.87527
113,209696,Credit Card,Completed,45988.55583
114,259678,Debit Card,,44061.72724
115,132991,PayPal,PE NDING,45511.3353
116,176122,,fa iled,45468.63294
117,297747,Bank Transfer,Completed,45695.34643
118,22372,Mobile Money,CO MPLETED,44947.12959
119,229159,Bank Transfer,FA ILED,44362.57923
120,240830,,CO MPLETED,45325.94582
121,17242,Mobile Money,Failed,45932.3972
122,227114,PayPal,Pending,44586.76078
123,61040,PA YPAL,Completed,45334.86593
124,261930,PAYPAL,failed,46009.60458
125,143676,PayPal,,44819.88017
126,281149,,FAILED,45093.26141
